identifier;type;title;author;author_gender;source;source_number;source_place;source_date;publication_date;publication_place;pages;literary epoch;decade
ER(R)GO_Teoria_Literatura_Kultura-r2007-t-n1_(14)-s87-99;article;Ślicznotka Hauptsturmführera Mengelego : o krytycznej powieści Zyty Rudzkiej;Arkadiusz Morawiec;mężczyzna;ER(R)GO Teoria Literatura Kultura;nr 1 (14);;2007;;;s. 87-99;Po 1989;2000
Jezyk_Artystyczny-r1978-t1-s78-93;article;"Próba leksykalnego opisu rymu ""Jerozolimy wyzwolonej""";Krystyna Wrońska;kobieta;Jezyk Artystyczny;t. 1;;1978;;;s. 78-93;1945-1989;1970
Jezyk_Artystyczny-r1978-t1-s97-115;article;Pozycja nazw własnych w przekładzie dzieła literackiego;Iwona Nowakowska-Kempna;kobieta;Jezyk Artystyczny;t. 1;;1978;;;s. 97-115;1945-1989;1970
Jezyk_Artystyczny-r1981-t2-s25-34;article;"O wzajemnej relacji zaimków ""ja"" - ""ty"" w narracji";Bożena Witosz;kobieta;Jezyk Artystyczny;t. 2;;1981;;;s. 25-34;1945-1989;1980
Jezyk_Artystyczny-r1981-t2-s131-141;article;"""Czarny potok"" Leopolda Buczkowskiego : struktura tekstu";Danuta Bula;kobieta;Jezyk Artystyczny;t. 2;;1981;;;s. 131-141;1945-1989;1980
Jezyk_Artystyczny-r1981-t2-s145-170;article;"Nazewnictwo w ""Dziadach"" Adama Mickiewicza";Elżbieta Rudnicka-Fira;kobieta;Jezyk Artystyczny;t. 2;;1981;;;s. 145-170;1945-1989;1980
Jezyk_Artystyczny-r1986-t4-s45-55;article;Instrumentarium muzyczne Jędrzeja Morsztyna;Wojciech Biedroń;mężczyzna;Jezyk Artystyczny;t. 4;;1986;;;s. 45-55;1945-1989;1980
Jezyk_Artystyczny-r1986-t4-s105-125;article;"Ze stylistycznej problematyki nazewnictwa w ""Trylogii"" Henryka Sienkiewicza";Bernadeta Niesporek;kobieta;Jezyk Artystyczny;t. 4;;1986;;;s. 105-125;1945-1989;1980
ER(R)GO_Teoria_Literatura_Kultura-r2014-t-n2_(29)-s85-94;article;Lęk ironistki : jażń ludzka w kulturze literackiej Richarda Rorty'ego;Wit Pietrzak;mężczyzna;ER(R)GO Teoria Literatura Kultura;nr 2 (29);;2014;;;s. 85-94;Po 1989;2010
Jezyk_Artystyczny-r1985-t3-s127-139;article;Nazewnictwo w twórczości poetyckiej Bolesława Leśmiana;Urszula Żydek-Bednarczuk;kobieta;Jezyk Artystyczny;t. 3;;1985;;;s. 127-139;1945-1989;1980
Jezyk_Artystyczny-r1987-t5-s28-43;article;O poetyckiej refleksji nad kształtem przestrzeni;Romualda Piętkowa;kobieta;Jezyk Artystyczny;t. 5;;1987;;;s. 28-43;1945-1989;1980
Jezyk_Artystyczny-r1987-t5-s53-62;article;Wyznaczniki czasu przedstawionego we współczesnych polskich opowiadaniach fantastyczno-naukowych;Jolanta Tambor;kobieta;Jezyk Artystyczny;t. 5;;1987;;;s. 53-62;1945-1989;1980
Jezyk_Artystyczny-r1989-t6-s16-31;article;Zagadki : metafory : gry językowe;Ryszard Tokarski;mężczyzna;Jezyk Artystyczny;t. 6;;1989;;;s. 16-31;1945-1989;1980
Jezyk_Artystyczny-r1990-t7-s93-109;article;O mechanizmach trawestacyjnych i ich funkcjach : na przykładzie trawestacji Jeremiego Przybory;Ewa Jędrzejko;kobieta;Jezyk Artystyczny;t. 7;;1990;;;s. 93-109;Po 1989;1990
Jezyk_Artystyczny-r2014-t15-s35-64;article;"Tekstowo zmediatyzowane doświadczenie bycia wampirem : wokół ""Zmierzchu"" Stephenie Meyer";Małgorzata Kita;kobieta;Jezyk Artystyczny;t. 15;;2014;;;s. 35-64;Po 1989;2010
Literaturoznawstwo_historia_teoria_metodologia_krytyka-r2007-t1_(1)-s237-242;article;"""Holocaust. Problemy przedstawiania"", Anna Ziębińska-Witek, Lublin 2005 : [recenzja]";Arkadiusz Morawiec;mężczyzna;Literaturoznawstwo historia teoria metodologia krytyka;t. 1 (1);;2007;;;s. 237-242;Po 1989;2000
Literaturoznawstwo_historia_teoria_metodologia_krytyka-r2011-t1_(5)-s83-114;article;Polska fantastyka literacka dla dzieci i młodzieży z lat 1989-2005;Stanisław Frycie;mężczyzna;Literaturoznawstwo historia teoria metodologia krytyka;t. 1 (5);;2011;;;s. 186, 83-114;Po 1989;2010
Literaturoznawstwo_historia_teoria_metodologia_krytyka-r2012_2013-t1(6)_2(7)-s195-207;article;Polityczne afiliacje fantastyki : historie alternatywne jako dyskurs ideologiczny;Magdalena Górecka;kobieta;Literaturoznawstwo historia teoria metodologia krytyka;t. 1(6)/2(7);;2012/2013;;;s. 195-207, 234;Po 1989;2010
Postscriptum-r2004_2005-t-n2_1(48_49)-s83-99;article;O paradygmacie, kompetencjach i miejscu stylistyki w obrębie współczesnych badań dyskursu;Bożena Witosz;kobieta;Postscriptum;nr 2/1(48/49);;2004/2005;;;s. 83-99;Po 1989;2000
Prace_Literaturoznawcze-r2013-t1-s77-88;article;Utopie Ryszarda Kapuścińskiego;Wioletta Bogucka;kobieta;Prace Literaturoznawcze;t. 1;;2013;;;s. 77-88;Po 1989;2010
Prace_Literaturoznawcze-r2013-t1-s229-238;article;Najnowsza proza olsztyńskich twórców : rekonesans;Joanna Chłosta-Zielonka;kobieta;Prace Literaturoznawcze;t. 1;;2013;;;s. 229-238;Po 1989;2010
Prace_Literaturoznawcze-r2013-t1-s277-287;article;Głos w sprawie edycji polskich romansów czasów saskich;Iwona Maciejewska;kobieta;Prace Literaturoznawcze;t. 1;;2013;;;s. 277-287;Po 1989;2010
Prace_Literaturoznawcze-r2013-t1-s325-329;article;"Sprawozdanie z ogólnopolskiej konferencji naukowej ""Nowe zjawiska w języku, tekście i komunikacji"", Olsztyn 12-13 maja 2012 roku";Iza Matusiak-Kempa;b.d.;Prace Literaturoznawcze;t. 1;;2013;;;s. 325-329;Po 1989;2010
Prace_Literaturoznawcze-r2014-t2-s369-371;article;"Ogólnopolska konferencja naukowa ""Nowa poezja polska wobec tradycji"", Olsztyn 16-17 października 2013 roku";Ewa Gliniewicz | Karolina Purłan;kobieta | kobieta;Prace Literaturoznawcze;t. 2;;2014;;;s. 369-371;Po 1989;2010
Prace_Literaturoznawcze-r2015-t3-s209-222;article;Kobieta oddana Bogu - obraz zakonnicy w polskiej prozie narracyjnej II połowy XIX wieku;Małgorzata Ciereszko;kobieta;Prace Literaturoznawcze;t. 3;;2015;;;s. 209-222;Po 1989;2010
Postscriptum-r2006-t-n2(52)-s34-45;article;Nieobecna obecność : kobieca mimikra literackiej konwencji na przykładzie wybranych utworów Nataszy Goerke i Olgi Tokarczuk;Małgorzata Anna Packalén;kobieta;Postscriptum;nr 2(52);;2006;;;s. 34-45;Po 1989;2000
Prace_Naukowe_Akademii_im_Jana_Dlugosza_w_Czestochowie_Filologia_Polska_Historia_i_Teoria_Literatury-r2014-t14-s71-82;article;Polska współczesna krytyka teatralna – próba diagnozy;Monika Kostaszuk-Romanowska;kobieta;Prace Naukowe Akademii im Jana Dlugosza w Czestochowie Filologia Polska Historia i Teoria Literatury;t. 14;;2014;;;s. 71-82;Po 1989;2010
Prace_Naukowe_Filologia_Polska_Historia_i_Teoria_Literatury-r1989-t2-s81-90;article;O ludycznym aspekcie wczesnych komedii Jerzego Szaniawskiego;Wiesław Leszczyński;mężczyzna;Prace Naukowe Filologia Polska Historia i Teoria Literatury;t. 2;;1989;;;s. 81-90;1945-1989;1980
Prace_Naukowe_Filologia_Polska_Historia_i_Teoria_Literatury-r1985-t1-s21-26;article;Z dziejów sławy Łukasza Górnickiego;Jerzy Starnawski;mężczyzna;Prace Naukowe Filologia Polska Historia i Teoria Literatury;t. 1;;1985;;;s. 21-26;1945-1989;1980
Prace_Naukowe_Filologia_Polska_Historia_i_Teoria_Literatury-r1985-t1-s111-132;article;"Oblicze literackie ""Kalendarza Obrazkowego"" (1874-1897)";Edward Polanowski | Kazimiera Zdzisława Szymańska;mężczyzna | kobieta;Prace Naukowe Filologia Polska Historia i Teoria Literatury;t. 1;;1985;;;s. 111-132;1945-1989;1980
Prace_Naukowe_Filologia_Polska_Historia_i_Teoria_Literatury-r1990-t3-s7-17;article;Andrzej Bursa - życie i legenda, część II;Grażyna Pietruszewska;kobieta;Prace Naukowe Filologia Polska Historia i Teoria Literatury;t. 3;;1990;;;s. 7-17;Po 1989;1990
Prace_Naukowe_Filologia_Polska_Historia_i_Teoria_Literatury-r1990-t3-s19-32;article;"W kwestii tzw. ""Dwudziestolecia międzywojennego""";Andrzej Chruszczyński;mężczyzna;Prace Naukowe Filologia Polska Historia i Teoria Literatury;t. 3;;1990;;;s. 19-32;Po 1989;1990
Prace_Naukowe_Filologia_Polska_Historia_i_Teoria_Literatury-r1995_1996-t5-s29-37;article;Literatura i krytyka czechosłowacka w czasopismach polskich;Irena Jokiel;kobieta;Prace Naukowe Filologia Polska Historia i Teoria Literatury;t. 5;;1995/1996;;;s. 29-37;Po 1989;1990
Prace_Naukowe_Filologia_Polska_Historia_i_Teoria_Literatury-r1995_1996-t5-s97-105;article;Pola Gojawiczyńska a proza kobieca;Adela Pryszczewska-Kozołub;kobieta;Prace Naukowe Filologia Polska Historia i Teoria Literatury;t. 5;;1995/1996;;;s. 97-105;Po 1989;1990
Prace_Naukowe_Filologia_Polska_Historia_i_Teoria_Literatury-r2003-t9-s93-101;article;Jedno znaczyć to za mało : o powieściach Wiesława Myśliwskiego;Beata Czubaj;kobieta;Prace Naukowe Filologia Polska Historia i Teoria Literatury;t. 9;;2003;;;s. 93-101;Po 1989;2000
Prace_Naukowe_Filologia_Polska_Historia_i_Teoria_Literatury-r1998-t7-s49-56;article;Wybrane powieści Kornela Makuszyńskiego dla młodzieży i ich czytelnictwo wśród młodzieży - próba monograficzna;Agnieszak Drążek;b.d.;Prace Naukowe Filologia Polska Historia i Teoria Literatury;t. 7;;1998;;;s. 49-56;Po 1989;1990
Prace_Naukowe_Filologia_Polska_Historia_i_Teoria_Literatury-r1998-t7-s241-255;article;"""Serca rzeczy"" : Zbigniew Herbert - studia przedmiotów";Dorota Utracka;kobieta;Prace Naukowe Filologia Polska Historia i Teoria Literatury;t. 7;;1998;;;s. 241-255;Po 1989;1990
Prace_Naukowe_Filologia_Polska_Historia_i_Teoria_Literatury-r1998-t7-s257-263;article;"Puszkin w ""Dziennikach"" Żeromskiego";Rafał Włodarczyk;mężczyzna;Prace Naukowe Filologia Polska Historia i Teoria Literatury;t. 7;;1998;;;s. 257-263;Po 1989;1990
Prace_Polonistyczne_Studies_in_Polish_Literature-r1965-t21-s103-125;article;Problem polskości i realizmu bohaterek Conrada;Aniela Kowalska;kobieta;Prace Polonistyczne Studies in Polish Literature;t. 21;;1965;;;s. 103-125;1945-1989;1960
Autobiografia_Literatura_-_Kultura_-_Media_00000406;article;Spłaszczenie autobiograficzne. O pewnym typie (akademickiej) lektury;Wolski, Paweł;mężczyzna;Autobiografia. Literatura - Kultura - Media;;;2014;;;;Po 1989;2010
Prace_Polonistyczne_Studies_in_Polish_Literature-r1968-t24-s62-81;article;Pozycja Reymonta wobec kultury ludowej;Irena Lechowa;kobieta;Prace Polonistyczne Studies in Polish Literature;t. 24;;1968;;;s. 62-81;1945-1989;1960
Prace_Polonistyczne_Studies_in_Polish_Literature-r1968-t24-s82-90;article;Funkcje stylistyczne przysłów w prozie Reymonta;Andrzej Płauszewski;mężczyzna;Prace Polonistyczne Studies in Polish Literature;t. 24;;1968;;;s. 82-90;1945-1989;1960
Konteksty_Kultury_00002584;article;„Bo ja wiem?” (Jerzy Jarzębski, Gry poetyckie i teatralne, Wydawnictwo Literackie, Kraków 2018, ss. 396);Łukasz Tischner;mężczyzna;Konteksty Kultury;Tom 18 zeszyt 2;;2021;;;291;Po 1989;2020
Prace_Polonistyczne_Studies_in_Polish_Literature-r1971-t27-s63-82;article;Polska powieść historyczna dwudziestolecia jako wyraz nowej świadomości literackiej;Wiesława Łojek;kobieta;Prace Polonistyczne Studies in Polish Literature;t. 27;;1971;;;s. 63-82;1945-1989;1970
Prace_Polonistyczne_Studies_in_Polish_Literature-r1972-t28-s75-95;article;Witold Wandurski - propagator twórczości Majakowskiego w Polsce : (przyczynek do recepcji);Helena Karwacka;kobieta;Prace Polonistyczne Studies in Polish Literature;t. 28;;1972;;;s. 75-95;1945-1989;1970
Prace_Polonistyczne_Studies_in_Polish_Literature-r1972-t28-s97-107;article;"Rzeczywistość i fikcja w ""Emilii Plater"" Wacława Gąsiorowskiego";Barbara Gołębiowska;kobieta;Prace Polonistyczne Studies in Polish Literature;t. 28;;1972;;;s. 97-107;1945-1989;1970
Literatura_i_Kultura_Popularna_00002685;article;Dlaczego tęsknimy do opowieści mitycznych? Literatura „fantasy” — próba określenia źródeł;Lichański, Jakub Z.;mężczyzna;Literatura i Kultura Popularna;Tom 16 (2010);;2010;;;5 - 21;Po 1989;2010
Prace_Polonistyczne_Studies_in_Polish_Literature-r1974-t30-s31-87;article;Lata literackiego terminowania Władysława Broniewskiego;Helena Karwacka;kobieta;Prace Polonistyczne Studies in Polish Literature;t. 30;;1974;;;s. 31-87;1945-1989;1970
Prace_Polonistyczne_Studies_in_Polish_Literature-r1974-t30-s119-135;article;Debiut warszawski i debiut łódzki Wiktora Dłużniewskiego;Aniela Kowalska;kobieta;Prace Polonistyczne Studies in Polish Literature;t. 30;;1974;;;s. 119-135;1945-1989;1970
Prace_Polonistyczne_Studies_in_Polish_Literature-r1974-t30-s197-211;article;U początków piśmiennictwa łużyckiego;Alojzy St. Matyniak;b.d.;Prace Polonistyczne Studies in Polish Literature;t. 30;;1974;;;s. 197-211;1945-1989;1970
Prace_Polonistyczne_Studies_in_Polish_Literature-r1974-t30-s251-270;article;Wokół sądu honorowego między S. Przybyszewskim a T. Micińskim i S. Wyrzykowskim (1899 r.);Jerzy Tynecki;mężczyzna;Prace Polonistyczne Studies in Polish Literature;t. 30;;1974;;;s. 251-270;1945-1989;1970
Prace_Polonistyczne_Studies_in_Polish_Literature-r1970-t26-s111-143;article;Nad genezą szopki satyrycznej : (wczesne fakty dziewiętnastowieczne);Ryszard Wierzbowski;mężczyzna;Prace Polonistyczne Studies in Polish Literature;t. 26;;1970;;;s. 111-143;1945-1989;1970
Prace_Polonistyczne_Studies_in_Polish_Literature-r1970-t26-s203-210;article;Debiut poetycki Jana Lechonia;Wanda Łukszo;kobieta;Prace Polonistyczne Studies in Polish Literature;t. 26;;1970;;;s. 203-210;1945-1989;1970
Prace_Polonistyczne_Studies_in_Polish_Literature-r1970-t26-s249-258;article;Niektóre problemy powojennej poezji Jana Brzękowskiego;Andrzej Płauszewski;mężczyzna;Prace Polonistyczne Studies in Polish Literature;t. 26;;1970;;;s. 249-258;1945-1989;1970
Prace_Polonistyczne_Studies_in_Polish_Literature-r1970-t26-s259-269;article;Kontynuacja literatury obozowej : (motyw wycieczki do obozu);Tadeusz Błażejewski;mężczyzna;Prace Polonistyczne Studies in Polish Literature;t. 26;;1970;;;s. 259-269;1945-1989;1970
Prace_Polonistyczne_Studies_in_Polish_Literature-r1976-t32-s29-51;article;"Z dziejów inkarnacji poetyckich toposu ""Ubi sunt...?""";Stefania Skwarczyńska;kobieta;Prace Polonistyczne Studies in Polish Literature;t. 32;;1976;;;s. 29-51;1945-1989;1970
Prace_Polonistyczne_Studies_in_Polish_Literature-r1975-t31-s95-115;article;Utopie i antyutopie w literaturze czeskiej;Krystyna Kardyni-Pelikánová;kobieta;Prace Polonistyczne Studies in Polish Literature;t. 31;;1975;;;s. 95-115;1945-1989;1970
Prace_Polonistyczne_Studies_in_Polish_Literature-r1975-t31-s129-146;article;Legenda Lwa Tołstoja w polskiej opinii społecznej lat 1890-1910;Anna Góralska;kobieta;Prace Polonistyczne Studies in Polish Literature;t. 31;;1975;;;s. 129-146;1945-1989;1970
Prace_Polonistyczne_Studies_in_Polish_Literature-r1975-t31-s147-174;article;"Łódź w oczach pozytywistki : ""Wśród kąkolu"" Walerii Marrené-Morzkowskiej - pierwsza powieść o fabrycznym mieście";Helena Karwacka;kobieta;Prace Polonistyczne Studies in Polish Literature;t. 31;;1975;;;s. 147-174;1945-1989;1970
Litteraria_Copernicana_00003342;article;Oniryczna podróż do świata irackich mniejszości etnicznych i religijnych: „Droga do Tall Muṭrān” ‘Alego Badra;Maśko, Adrianna;kobieta;Litteraria Copernicana;Nr 1(29)/ (2019): Na szlakach Śródziemnomorza;;2019;;;69-81;Po 1989;2010
Prace_Polonistyczne_Studies_in_Polish_Literature-r1978-t34-s167-196;article;Temat polski w literaturze NRD;Krzysztof A. Kuczyński;mężczyzna;Prace Polonistyczne Studies in Polish Literature;t. 34;;1978;;;s. 167-196;1945-1989;1970
Prace_Polonistyczne_Studies_in_Polish_Literature-r1977-t33-s5-40;article;Poezja polityczna czasów pierwszego rozbioru i sejmu delegacyjnego wobec wydarzeń tamtych lat;Barbara Wolska;kobieta;Prace Polonistyczne Studies in Polish Literature;t. 33;;1977;;;s. 5-40;1945-1989;1970
Prace_Polonistyczne_Studies_in_Polish_Literature-r1977-t33-s141-152;article;"Cesare Pavese : między ""Rzemiosłem życia"" a ""Dialogami z Leukoteą""";Aniela Kowalska;kobieta;Prace Polonistyczne Studies in Polish Literature;t. 33;;1977;;;s. 141-152;1945-1989;1970
Prace_Polonistyczne_Studies_in_Polish_Literature-r1979-t35-s53-79;article;Polityczne aspekty kasaty zakonu jezuitów w poezji czasów sejmu delegacyjnego. W kręgu obiadów czwartkowych : Rzewuski, Naruszewicz, Trembecki o kasacie;Barbara Wolska;kobieta;Prace Polonistyczne Studies in Polish Literature;t. 35;;1979;;;s. 53-79;1945-1989;1970
Prace_Polonistyczne_Studies_in_Polish_Literature-r1979-t35-s105-127;article;Odrodzenie romantycznej legendy filomacko-filareckiej wśród młodzieży zaboru rosyjskiego w końcu XIX w.;Krystyna Ratajska;kobieta;Prace Polonistyczne Studies in Polish Literature;t. 35;;1979;;;s. 105-127;1945-1989;1970
